course,semester,section,subject,day,start_time,end_time,room_number
B.Tech CSE,III,A,Object Oriented Programming with C++,Monday,08:00 AM,08:55 AM,124 (LT)
B.Tech CSE,III,A,Fundamentals of Cloud Computing and Big Data,Monday,08:55 AM,09:50 AM,117 (CR)
B.Tech CSE,III,A,Introduction to Cryptography,Monday,08:55 AM,09:50 AM,224 (LT)
B.Tech CSE,III,A,Python Programming,Monday,08:55 AM,09:50 AM,206 (LT)
B.Tech CSE,III,A,OOPS with C++ Lab,Monday,10:10 AM,12:00 PM,009 (LAB)
B.Tech CSE,III,A,Career Skills-I,Monday,12:00 PM,12:55 PM,113 (CR)
B.Tech CSE,III,A,Discrete Structures and Combinatorics,Monday,03:05 PM,04:00 PM,206 (LT)
B.Tech CSE,III,A,Data Structures Lab,Tuesday,12:00 PM,01:50 PM,302-A (LAB)
B.Tech CSE,III,A,Data Structures with C,Tuesday,02:10 PM,03:05 PM,106 (LT)
B.Tech CSE,III,A,Discrete Structures and Combinatorics,Tuesday,03:05 PM,04:00 PM,206 (LT)
B.Tech CSE,III,A,Career Excellence Classes,Tuesday,04:00 PM,04:55 PM,529 (Audi)
B.Tech CSE,III,A,Object Oriented Programming with C++,Wednesday,08:00 AM,08:55 AM,124 (LT)
B.Tech CSE,III,A,Fundamentals of Cloud Computing and Big Data,Wednesday,08:55 AM,09:50 AM,117 (CR)
B.Tech CSE,III,A,Introduction to Cryptography,Wednesday,08:55 AM,09:50 AM,224 (LT)
B.Tech CSE,III,A,Python Programming,Wednesday,08:55 AM,09:50 AM,206 (LT)
B.Tech CSE,III,A,Logic Design and Computer Organization,Wednesday,11:05 AM,12:00 PM,123 (CR)
B.Tech CSE,III,A,Data Structures with C,Wednesday,02:10 PM,03:05 PM,106 (LT)
B.Tech CSE,III,A,OOPS with C++ Lab,Thursday,08:00 AM,09:50 AM,009 (LAB)
B.Tech CSE,III,A,Logic Design and Computer Organization,Thursday,10:10 AM,11:05 AM,115 (CR)
B.Tech CSE,III,A,Logic Design and Computer Organization Lab,Thursday,12:00 PM,01:50 PM,LOGIC LAB (3RD FLOOR)
B.Tech CSE,III,A,Data Structures with C,Thursday,02:10 PM,03:05 PM,106 (LT)
B.Tech CSE,III,A,Discrete Structures and Combinatorics,Friday,08:00 AM,08:55 AM,206 (LT)
B.Tech CSE,III,A,Fundamentals of Cloud Computing and Big Data,Friday,08:55 AM,09:50 AM,117 (CR)
B.Tech CSE,III,A,Introduction to Cryptography,Friday,08:55 AM,09:50 AM,224 (LT)
B.Tech CSE,III,A,Python Programming,Friday,08:55 AM,09:50 AM,206 (LT)
B.Tech CSE,III,A,Logic Design and Computer Organization,Friday,10:10 AM,11:05 AM,115 (CR)
B.Tech CSE,III,A,Object Oriented Programming with C++,Friday,12:00 PM,12:55 PM,106 (LT)
B.Tech CSE,III,A,Data Structures with C,Friday,02:10 PM,03:05 PM,106 (LT)
B.Tech CSE,III,A,Career Skills-I,Friday,03:05 PM,04:00 PM,116 (CR)
B.Tech CSE,III,A,Data Structures Lab,Saturday,08:00 AM,09:50 AM,009 (LAB)
B.Tech CSE,III,A,Logic Design and Computer Organization Lab,Saturday,10:10 AM,12:00 PM,LOGIC LAB (3RD FLOOR)
B.Tech CSE,III,B,Object Oriented Programming with C++,Monday,08:00 AM,08:55 AM,124 (LT)
B.Tech CSE,III,B,Fundamentals of Cloud Computing and Big Data,Monday,08:55 AM,09:50 AM,117 (CR)
B.Tech CSE,III,B,Introduction to Cryptography,Monday,08:55 AM,09:50 AM,224 (LT)
B.Tech CSE,III,B,Python Programming,Monday,08:55 AM,09:50 AM,206 (LT)
B.Tech CSE,III,B,Data Structures with C,Monday,10:10 AM,11:05 AM,106 (LT)
B.Tech CSE,III,B,OOPS with C++ Lab,Monday,12:00 PM,01:50 PM,002-A (LAB)
B.Tech CSE,III,B,Discrete Structures and Combinatorics,Monday,03:05 PM,04:00 PM,206 (LT)
B.Tech CSE,III,B,Data Structures with C,Tuesday,10:10 AM,11:05 AM,106 (LT)
B.Tech CSE,III,B,OOPS with C++ Lab,Tuesday,12:00 PM,01:50 PM,302-B (LAB)
B.Tech CSE,III,B,Logic Design and Computer Organization,Tuesday,02:10 PM,03:05 PM,116 (CR)
B.Tech CSE,III,B,Discrete Structures and Combinatorics,Tuesday,03:05 PM,04:00 PM,206 (LT)
B.Tech CSE,III,B,Career Excellence Classes,Tuesday,04:00 PM,04:55 PM,529 (Audi)
B.Tech CSE,III,B,Object Oriented Programming with C++,Wednesday,08:00 AM,08:55 AM,124 (LT)
B.Tech CSE,III,B,Fundamentals of Cloud Computing and Big Data,Wednesday,08:55 AM,09:50 AM,117 (CR)
B.Tech CSE,III,B,Introduction to Cryptography,Wednesday,08:55 AM,09:50 AM,224 (LT)
B.Tech CSE,III,B,Python Programming,Wednesday,08:55 AM,09:50 AM,206 (LT)
B.Tech CSE,III,B,Data Structures with C,Wednesday,10:10 AM,11:05 AM,106 (LT)
B.Tech CSE,III,B,Career Skills-I,Wednesday,12:55 PM,01:50 PM,114 (CR)
B.Tech CSE,III,B,Logic Design and Computer Organization,Wednesday,03:05 PM,04:00 PM,114 (CR)
B.Tech CSE,III,B,Data Structures with C,Thursday,08:55 AM,09:50 AM,106 (LT)
B.Tech CSE,III,B,Career Skills-I,Thursday,10:10 AM,11:05 AM,116 (CR)
B.Tech CSE,III,B,Logic Design and Computer Organization,Thursday,11:05 AM,12:00 PM,113 (CR)
B.Tech CSE,III,B,Data Structures Lab,Thursday,12:00 PM,01:50 PM,002-A (LAB)
B.Tech CSE,III,B,Discrete Structures and Combinatorics,Friday,08:00 AM,08:55 AM,206 (LT)
B.Tech CSE,III,B,Fundamentals of Cloud Computing and Big Data,Friday,08:55 AM,09:50 AM,117 (CR)
B.Tech CSE,III,B,Introduction to Cryptography,Friday,08:55 AM,09:50 AM,224 (LT)
B.Tech CSE,III,B,Python Programming,Friday,08:55 AM,09:50 AM,206 (LT)
B.Tech CSE,III,B,Logic Design and Computer Organization Lab,Friday,10:10 AM,12:00 PM,LOGIC LAB (3RD FLOOR)
B.Tech CSE,III,B,Object Oriented Programming with C++,Friday,12:00 PM,12:55 PM,106 (LT)
B.Tech CSE,III,B,Logic Design and Computer Organization Lab,Saturday,12:00 PM,01:50 PM,LOGIC LAB (BASEMENT)
B.Tech CSE,III,B,Data Structures Lab,Saturday,02:10 PM,04:00 PM,102-A (LAB)
B.Tech CSE,III,C,Fundamentals of Cloud Computing and Big Data,Monday,08:55 AM,09:50 AM,117 (CR)
B.Tech CSE,III,C,Introduction to Cryptography,Monday,08:55 AM,09:50 AM,224 (LT)
B.Tech CSE,III,C,Python Programming,Monday,08:55 AM,09:50 AM,206 (LT)
B.Tech CSE,III,C,OOPS with C++ Lab,Monday,10:10 AM,12:00 PM,121 (LAB)
B.Tech CSE,III,C,Logic Design and Computer Organization,Monday,12:00 PM,12:55 PM,017 (CR)
B.Tech CSE,III,C,Logic Design and Computer Organization Lab,Monday,02:10 PM,04:00 PM,LOGIC LAB (3RD FLOOR)
B.Tech CSE,III,C,Logic Design and Computer Organization,Tuesday,12:00 PM,12:55 PM,113 (CR)
B.Tech CSE,III,C,Career Skills-I,Tuesday,12:55 PM,01:50 PM,017 (CR)
B.Tech CSE,III,C,Data Structures with C,Tuesday,02:10 PM,03:05 PM,106 (LT)
B.Tech CSE,III,C,Career Excellence Classes,Tuesday,04:00 PM,04:55 PM,529 (Audi)
B.Tech CSE,III,C,Career Skills-I,Wednesday,08:00 AM,08:55 AM,113 (CR)
B.Tech CSE,III,C,Fundamentals of Cloud Computing and Big Data,Wednesday,08:55 AM,09:50 AM,117 (CR)
B.Tech CSE,III,C,Introduction to Cryptography,Wednesday,08:55 AM,09:50 AM,224 (LT)
B.Tech CSE,III,C,Python Programming,Wednesday,08:55 AM,09:50 AM,206 (LT)
B.Tech CSE,III,C,Data Structures Lab,Wednesday,10:10 AM,12:00 PM,002-A (LAB)
B.Tech CSE,III,C,Logic Design and Computer Organization,Wednesday,12:55 PM,01:50 PM,115 (CR)
B.Tech CSE,III,C,Data Structures with C,Wednesday,02:10 PM,03:05 PM,106 (LT)
B.Tech CSE,III,C,Object Oriented Programming with C++,Wednesday,03:05 PM,04:00 PM,116 (CR)
B.Tech CSE,III,C,Discrete Structures and Combinatorics,Thursday,12:00 PM,12:55 PM,106 (LT)
B.Tech CSE,III,C,Data Structures with C,Thursday,02:10 PM,03:05 PM,106 (LT)
B.Tech CSE,III,C,Object Oriented Programming with C++,Thursday,03:05 PM,04:00 PM,017 (CR)
B.Tech CSE,III,C,Discrete Structures and Combinatorics,Friday,08:00 AM,08:55 AM,106 (LT)
B.Tech CSE,III,C,Fundamentals of Cloud Computing and Big Data,Friday,08:55 AM,09:50 AM,117 (CR)
B.Tech CSE,III,C,Introduction to Cryptography,Friday,08:55 AM,09:50 AM,224 (LT)
B.Tech CSE,III,C,Python Programming,Friday,08:55 AM,09:50 AM,206 (LT)
B.Tech CSE,III,C,OOPS with C++ Lab,Friday,10:10 AM,12:00 PM,002-A (LAB)
B.Tech CSE,III,C,Data Structures with C,Friday,02:10 PM,03:05 PM,106 (LT)
B.Tech CSE,III,C,Object Oriented Programming with C++,Friday,03:05 PM,04:00 PM,017 (CR)
B.Tech CSE,III,C,Logic Design and Computer Organization Lab,Saturday,08:00 AM,09:50 AM,LOGIC LAB (3RD FLOOR)
B.Tech CSE,III,C,Data Structures Lab,Saturday,10:10 AM,12:00 PM,002-B (LAB)
B.Tech CSE,III,C,Discrete Structures and Combinatorics,Saturday,12:00 PM,12:55 PM,124 (LT)
B.Tech CSE,III,D,Fundamentals of Cloud Computing and Big Data,Monday,08:55 AM,09:50 AM,117 (CR)
B.Tech CSE,III,D,Introduction to Cryptography,Monday,08:55 AM,09:50 AM,224 (LT)
B.Tech CSE,III,D,Python Programming,Monday,08:55 AM,09:50 AM,206 (LT)
B.Tech CSE,III,D,Career Skills-I,Monday,10:10 AM,11:05 AM,123 (CR)
B.Tech CSE,III,D,Logic Design and Computer Organization,Monday,11:05 AM,12:00 PM,107 (CR)
B.Tech CSE,III,D,Data Structures Lab,Tuesday,12:00 PM,01:50 PM,102-B (LAB)
B.Tech CSE,III,D,Data Structures with C,Tuesday,02:10 PM,03:05 PM,106 (LT)
B.Tech CSE,III,D,Object Oriented Programming with C++,Tuesday,03:05 PM,04:00 PM,017 (CR)
B.Tech CSE,III,D,Career Excellence Classes,Tuesday,04:00 PM,04:55 PM,529 (Audi)
B.Tech CSE,III,D,Fundamentals of Cloud Computing and Big Data,Wednesday,08:55 AM,09:50 AM,117 (CR)
B.Tech CSE,III,D,Introduction to Cryptography,Wednesday,08:55 AM,09:50 AM,224 (LT)
B.Tech CSE,III,D,Python Programming,Wednesday,08:55 AM,09:50 AM,206 (LT)
B.Tech CSE,III,D,OOPS with C++ Lab,Wednesday,10:10 AM,12:00 PM,209 (LAB)
B.Tech CSE,III,D,Object Oriented Programming with C++,Wednesday,12:00 PM,12:55 PM,116 (CR)
B.Tech CSE,III,D,Data Structures with C,Wednesday,02:10 PM,03:05 PM,106 (LT)
B.Tech CSE,III,D,Logic Design and Computer Organization Lab,Thursday,08:00 AM,09:50 AM,LOGIC LAB (3RD FLOOR)
B.Tech CSE,III,D,OOPS with C++ Lab,Thursday,10:10 AM,12:00 PM,002-A (LAB)
B.Tech CSE,III,D,Discrete Structures and Combinatorics,Thursday,12:00 PM,12:55 PM,106 (LT)
B.Tech CSE,III,D,Data Structures with C,Thursday,02:10 PM,03:05 PM,106 (LT)
B.Tech CSE,III,D,Logic Design and Computer Organization,Thursday,03:05 PM,04:00 PM,113 (CR)
B.Tech CSE,III,D,Discrete Structures and Combinatorics,Friday,08:00 AM,08:55 AM,106 (LT)
B.Tech CSE,III,D,Fundamentals of Cloud Computing and Big Data,Friday,08:55 AM,09:50 AM,117 (CR)
B.Tech CSE,III,D,Introduction to Cryptography,Friday,08:55 AM,09:50 AM,224 (LT)
B.Tech CSE,III,D,Python Programming,Friday,08:55 AM,09:50 AM,206 (LT)
B.Tech CSE,III,D,Career Skills-I,Friday,10:10 AM,11:05 AM,116 (CR)
B.Tech CSE,III,D,Object Oriented Programming with C++,Friday,12:00 PM,12:55 PM,116 (CR)
B.Tech CSE,III,D,Data Structures with C,Friday,02:10 PM,03:05 PM,106 (LT)
B.Tech CSE,III,D,Logic Design and Computer Organization,Friday,03:05 PM,04:00 PM,113 (CR)
B.Tech CSE,III,D,Logic Design and Computer Organization Lab,Saturday,10:10 AM,12:00 PM,LOGIC LAB (BASEMENT)
B.Tech CSE,III,D,Discrete Structures and Combinatorics,Saturday,12:00 PM,12:55 PM,124 (LT)
B.Tech CSE,III,D,Data Structures Lab,Saturday,02:10 PM,04:00 PM,121 (LAB)
B.Tech CSE,III,E,Object Oriented Programming with C++,Monday,08:00 AM,08:55 AM,117 (CR)
B.Tech CSE,III,E,Introduction to Cryptography,Monday,08:55 AM,09:50 AM,224 (LT)
B.Tech CSE,III,E,Fundamentals of Cloud Computing and Big Data,Monday,10:10 AM,11:05 AM,117 (CR)
B.Tech CSE,III,E,Python Programming,Monday,10:10 AM,11:05 AM,206 (LT)
B.Tech CSE,III,E,Discrete Structures and Combinatorics,Monday,11:05 AM,12:00 PM,124 (LT)
B.Tech CSE,III,E,Data Structures Lab,Tuesday,12:00 PM,01:50 PM,209 (LAB)
B.Tech CSE,III,E,Data Structures with C,Tuesday,02:10 PM,03:05 PM,529 (Audi)
B.Tech CSE,III,E,Object Oriented Programming with C++,Tuesday,03:05 PM,04:00 PM,224 (LT)
B.Tech CSE,III,E,Career Excellence Classes,Tuesday,04:00 PM,04:55 PM,529 (Audi)
B.Tech CSE,III,E,Discrete Structures and Combinatorics,Wednesday,08:00 AM,08:55 AM,117 (CR)
B.Tech CSE,III,E,Introduction to Cryptography,Wednesday,08:55 AM,09:50 AM,224 (LT)
B.Tech CSE,III,E,Fundamentals of Cloud Computing and Big Data,Wednesday,10:10 AM,11:05 AM,117 (CR)
B.Tech CSE,III,E,Python Programming,Wednesday,10:10 AM,11:05 AM,206 (LT)
B.Tech CSE,III,E,Logic Design and Computer Organization,Wednesday,11:05 AM,12:00 PM,117 (CR)
B.Tech CSE,III,E,Object Oriented Programming with C++,Wednesday,12:55 PM,01:50 PM,224 (LT)
B.Tech CSE,III,E,Data Structures with C,Wednesday,02:10 PM,03:05 PM,529 (Audi)
B.Tech CSE,III,E,Career Skills-I,Wednesday,03:05 PM,04:00 PM,123 (CR)
B.Tech CSE,III,E,Logic Design and Computer Organization Lab,Thursday,12:00 PM,01:50 PM,LOGIC LAB (BASEMENT)
B.Tech CSE,III,E,Data Structures with C,Thursday,02:10 PM,03:05 PM,529 (Audi)
B.Tech CSE,III,E,OOPS with C++ Lab,Thursday,04:00 PM,05:50 PM,209 (LAB)
